Property Address,Property City,Property State,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Property Name,Buyer (True) Company,Acquisition Fund Name,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Disposition Fund Name,Seller (True) Origin,Listing Broker Company,Secondary Type,Building Class,Year Built,Number Of Units,Land Area AC,Land Area SF,Number Of Floors,Ceiling Height,Zoning,Submarket Name,Location Type,Property County,Country,Subcontinent,Continent,Property Zip Code,Corner,Map Code,Price Per AC Land,Price Per SF Land,Number Of Beds,Vacancy,University,Price Per Unit,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Affordable Type,Age,All-Inclusive,All-Suites,Amenities,Anchor Tenants,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Avg Unit SF,Brand,Building Condition,Building Materials,Building Operating Expenses,Building Park,Building Tax Expenses,Buyer (True) Address,Buyer (True) City,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) Secondary Type,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Type,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Column Spacing,Comp ID,Comps Number,Construction Begin,Construction Material,Coverage,Cross Street,Description Text,Document Number,Down Payment,Drive Ins,Fips Code,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Flood Risk,Flood Zone,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Heating,Hold Period,Hotel Class,Hotel Location Type,Hotel Operator,Improvement Ratio,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of Cranes,Number Of Other Bedrooms Units,Number Of Parking Spaces,Number Of Rooms,Number Of Studios Units,Number Of Tenants,Office Space,One Bedroom Mix,Other Mix,Parcel Number 1 (Min),Parcel Number 2 (Max),Parent Company,Parking Ratio,Percent Leased,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Pre-Leasing,Price Per AC Land Net,Price Per Room,Price Per SF (Net),Price Per SF Land Net,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,PropertyID,Proposed Use,Rail Served,Region,Roof Type,Sale Condition,Sale Type,Scale,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Seller (True) Address,Seller (True) City,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) Secondary Type,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Type,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Sewer,Size,Sprinklers,Sprinklers,Stamp,Studio Mix,Submarket Cluster,Submarket Code,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typical Floor (SF),Units Per Acre,Water,Year Renovated
1715 Westmoreland Blvd,Los Angeles,CA,Multi-Family,"7,028",2 Star,"$3,400,000",483.78,7/18/2023,Sold,"3,400,000",4.11,,,The Law Offices of Daniel Kim,,National,,David Small,,Local,Lee & Associates,Apartments,C,1986,11,0.23,10083,2,,"R2, Los Angeles",Harvard Heights,Urban,Los Angeles,United States,North America,Americas,90006,,633-H5,"14,688,485.57",337.20,,,,"309,091",7/18/2023,7/18/2023,,Confirmed,Research Complete - Correction,,37,No,No,,,"61,989","247,960","309,949",2022,864,,Adequate,,,,,"611 Anton Blvd, 1000",Costa Mesa,Daniel Kim,7147903519,,,Other - Private,CA,Anton Blvd,611,Private,92626-7005,,,,,,,,,,,,,,,,,,,,,,,,6455792,,,,0.348507146727162,,"

Property Description: Multi Family   -  11 Units



",0471538,,,06037,,"1,495,000",,,Lender Name: Cbre Capital Markets Inc,Yes,B and X,0.70,,,,,,131 Months,,,,20.00,,,,34.0422452,,"1055 E Colorado Blvd, 330",Robert,Leveen,Pasadena,6265359888,CA,Colorado Blvd,1055,,E,91106-2327,,-118.306879,63.000x161.000,633,H,5,Los Angeles,125,,,6,5,0,,0,15,,0,,,6(1 + 1) ,,5074-017-014,5074-017-014,,2.13,,,Los Angeles,Los Angeles,,CA,90006,,,,,483.78,,Westmoreland Blvd,1715,,,4503869,,,,,,Investment,Independent,,,,,"13101 Washington Blvd, 449",Los Angeles,David Small,3102052145,,,Individual,CA,Washington Blvd,13101,Private,90066,"13101 W Washington Blvd, 449",Los Angeles,Wise Capital LLC,,,CA,Washington Blvd,13101,,W,90066-5131,,"7,028",,,,,Koreatown,POC       ,,,,,"On July 18, 2023, the apartment building on .23 acres located at 1715 Westmoreland Blvd, Los Angeles, CA 90006 sold for $3,400,000. The seller was represented by Robert Leveen of Lee & Associates. The buyer was represented by Daniel Kim.  The property was put on the market on March 15, 2023 and was on the market for 125 days. The buyer took out a loan of $1,495,000 to finance the acquisition.  The property was built in 1986. The property includes 15 parking spaces. The zoning on the property is R2, Los Angeles.",,5(2 + 1) ,3514,47,,
2422 Johnston St,Los Angeles,CA,Multi-Family,"6,246",2 Star,"$2,100,000",336.22,7/18/2023,Sold,,,,,KoTai Realty,,Local,KoTai Realty,Su Susan,,National,,Apartments,C,1986,9,0.23,9914,2,,LARD3,Montecito Heights,Urban,Los Angeles,United States,North America,Americas,90031,,,"9,226,951.79",211.82,,,,"233,333",7/18/2023,7/25/2023,,Confirmed,Research Complete,,37,No,No,,,"694,426","239,879","934,305",2022,,,Adequate,Masonry,,,,802 E Mission Rd,San Gabriel,Curt Wang,6262858333,,E,Individual,CA,Mission Rd,802,Private,91776-2716,802 E Mission Rd,San Gabriel,South Fremont 8 Investment Inc,,,CA,Mission Rd,802,,E,91776,802 E Mission Rd,Curt,Wang,San Gabriel,6262858333,CA,Mission Rd,802,,E,91776-2716,,6462790,,,Masonry,0.315000944095049,,,0470454,,None,06037,,"875,000",,,Lender Name: Jpmorgan Chase Bank Na,Yes,B and X,0.63,,,,,,62 Months,,,,74.33,,,,34.0745225,,,,,,,,,,,,,None,-118.2100846,,,,,Los Angeles,,,,4,5,0,,0,6,,0,,,4(1 + 1) ,,5208-003-010,5208-003-010,,0.96,100.00%,,Los Angeles,Los Angeles,,CA,90031,,,,,336.22,,Johnston St,2422,,,7817821,,,,,,Investment,Independent,,,,,2500 S Baldwin Ave,Arcadia,Susan Su,,,S,Individual,CA,Baldwin Ave,2500,Private,91007,2500 S Baldwin Ave,Arcadia,Su Susan,,,CA,Baldwin Ave,2500,,S,91007,,"6,246",,,,,Southeast Los Angeles,9FW       ,,,,,"Susan Su sold this 6,246 SF, 9 Unit Class C Multi-Family Building to South Fremont 8 Investment Inc for $2,100,000.

All information in the comparable has been verified by the buyer.",,5(2 + 1) ,3123,,,
439 S Catalina St (Part of a 7 Property Portfolio),Los Angeles,CA,Multi-Family,"11,506",2 Star,"$2,700,000",234.66,7/17/2023,Sold,,,,,Taylor Equities,,Local,,,,National,Greysteel,Apartments,C,1984,18,1.00,43476,2,,LAR3,South Lake,Urban,Los Angeles,United States,North America,Americas,90020-2490,,,"2,705,216.67",62.10,,,,"150,000",7/17/2023,8/4/2023,,Confirmed,Research Complete,,39,No,No,"Air Conditioning, Pool",,"2,370,091","1,526,535","3,896,626",2022,,,Adequate,Reinforced Concrete,2022 Tax @ $667.94/Unit,,2022 Tax @ $667.94/Unit,"3993 Inglewood Blvd, 612",Los Angeles,,3234574747,,,Corporation | Individual,CA,Inglewood Blvd,3993,User | Private,90066-4515,,,"Taylor Equities 15, LLC",,,,,,,,,,,,,,,,,,,,,6472753,,,Reinforced Concrete,0.132325832247371,,,0467473,,,06037,,,,,,Yes,AO,0.26,,,,,,20+ Years,,,,60.82,,,,34.138662,,"11400 W Olympic Blvd, 625",Everett,Wong,Los Angeles,3104395794,CA,Olympic Blvd,11400,,W,90064-1550,,-118.1297486,,,,,Los Angeles,,Los Angeles Multifamily Portfolio,,0,18,0,,0,,,0,,,,,5502-012-012,5502-012-012,,,,,Los Angeles,Los Angeles,Los Angeles Multifamily Portfolio,CA,,,,,,234.66,,Catalina St,439,,S,16784372,,,,,Bulk/Portfolio Sale,Investment,Independent,,,,,,,,,,,,,,,,,,,Armand Riza Trust,,,,,,,,,,"11,506",,,,,Pasadena,1FI       ,,,,,"On July 17th, 2023, Carol Nidorf sold the multifamily portfolio to Taylor Equities and Nasser Tefilin for $17.5 Million or $196,629 per unit.

The properties included are as follows:

439 S Catalina St. - 18 Units
11173 Charnock Rd. -17 Units
820 S Gramercy Place -19 Units
3454 Jasmine Ave - 9 Units
1200 N McCadden Place - 4 Units
4037 McLaughlin Ave - 12 Units
4061 McLaughlin Ave - 10 Units

The information provided for this sale comparable report was verified by sources deemed reliable. 
","2,640.00",18(2 + 1) ,5753,,,
2255 29th St,Santa Monica,CA,Multi-Family,"5,220",2 Star,"$3,100,000",593.87,7/14/2023,Sold,,,,,Abbass Tousi,,Local,,Yasuno Kiyoshi,,National,Growth Investment Group California,Apartments,B,1990,6,0.21,9252,2,,SMR2,Sunset Park,Urban,Los Angeles,United States,North America,Americas,90405,,,"14,595,330.74",335.06,,,,"516,667",7/14/2023,7/21/2023,,Full Value,Research Complete,Affordable Units,33,No,No,"Controlled Access, Gas Range",,"1,155,155","2,310,313","3,465,468",2022,862,,Good,Wood Frame,,,,2460 La Condesa Dr,Los Angeles,Abbass Tousi,3104728115,,,Individual,CA,La Condesa Dr,2460,Private,90049,2460 La Condesa Dr,Los Angeles,Abbass Tousi,,3104728115,CA,La Condesa Dr,2460,,,90049,,,,,,,,,,,,,6457481,,,Wood Frame,0.282096776703865,,,0464405,"1,500,000",,06037,,"1,600,000",,,Lender Name: Mark Garber Trust,Yes,B and X,0.56,,,,,,110 Months,,,,33.33,,,,34.0243458,,1487 E Colorado Blvd,Han,Widjaja-Chen,Pasadena,6265944901,CA,Colorado Blvd,1487,,E,91106-2021,,-118.4587322,,,,,Los Angeles,,,,0,6,0,,0,9,,0,,,,,4270-005-003,4270-005-003,,1.72,100.00%,,Santa Monica,Los Angeles,,CA,90405,,,,,593.87,,29th St,2255,,,9342899,,,,,,Investment,Independent,,,,,,,Yasuno Kiyoshi,,,,Individual,,,,Private,,,,Yasuno Kiyoshi,,,,,,,,,,"5,220",,,,,Santa Monica,4FT       ,,,,,"Yasuno Kiyoshi sold this 6 unit multi-family property to Abbass Tousi for $3,100,000 or $516,667 per unit. 

The property was on market starting May 17th and closed nearly two months later on July 14th and had an initial asking price of $3,380,000. 

All information in the comparable has been sourced from public record.",,6(2 + 2.5) ,2610,,,
5118 Klump Ave,North Hollywood,CA,Multi-Family,"4,314",2 Star,"$1,750,000",405.66,7/13/2023,Sold,"1,890,000",5.60,,,Timothy J & Constance J Sauer,,Local,RE/MAX One,Erwin George C,,Local,RE/MAX One,Apartments,C,1979,12,0.16,6852,2,,"R4-2, N. Hollywood",North Hollywood,Urban,Los Angeles,United States,North America,Americas,91601-3727,,,"11,125,218.91",255.40,,4.1,,"145,833",7/13/2023,7/14/2023,,Confirmed,Research Complete,,44,No,No,"Air Conditioning, Laundry Facilities",,"295,451","221,583","517,034",2022,,,Poor,,,,,9423 Wheatland Ave,Shadow Hills,Timothy Sauer,8182552220,,,Individual,CA,Wheatland Ave,9423,Private,91040-1423,612 Berkshire Ave,La Canada,TCT Living Trust,,8185542896,CA,Berkshire Ave,612,,,91011-3425,"6355 Topanga Canyon Blvd, 100",Chase,Simonton,Woodland Hills,8183467362,CA,Topanga Canyon Blvd,6355,,,91367-2102,,6449788,,,,0.314799150261209,,"PARKING:
Composition    Open(Tandem)     Covered(Tandem)  Total     Condition
Asphault:      2(0)             0(0)             2         Average
Concrete:      0(0)             10(0)            10        Average


Property Description: Multi Family - 12 Units



",0460234,"1,750,000",,06037,,,,,,Yes,B and X,0.63,,,12.62,,,20+ Years,,,,57.14,,,,34.1635266,,"6355 Topanga Canyon Blvd, 100",Alex,Izbicki,Woodland Hills,8183467362,CA,Topanga Canyon Blvd,6355,,,91367-2102,,-118.3754347,50.000x137.000,,,,Los Angeles,17,,,0,0,0,,0,12,,12,,,,,2353-004-016,2353-004-016,,1.00,,,North Hollywood,Los Angeles,,CA,,,,,,405.66,,Klump Ave,5118,,,4182952,,,,,,Investment,Independent,,,,,12641 Saticoy St,North Hollywood,George Erwin,8189063521,,,Individual,CA,Saticoy St,12641,Private,91605,12641 Saticoy St,North Hollywood,Erwin George C,,8189063521,CA,Saticoy St,12641,,,91605,,"4,314",,,,12(0 + 1) ,Studio City/N Hollywood,4EM       ,,,,,"On July 13th, 2023, a 4,314 square foot, 12 unit class C Multifamily Building sold for $1,750,000 at 5118 Klump Ave in North Hollywood, CA. 

The property is currently zoned R4-2, N. Hollywood and the new buyer plans to continue the property’s historic use as a multi-family asset. 

The seller was George Erwin and he was represented by Alex Izbicki with RE/MAX One. 

The buyer was Timothy Sauer operating under the TCT Living Trust, and he was represented by Chase Simonton with RE/MAX One as well. 

The details of this transaction were confirmed with the listing broker, buyer broker, and were sourced from public record. 
",,,2157,76,,
1537 S Shenandoah St,Los Angeles,CA,Multi-Family,"10,145",3 Star,"$3,950,000",389.35,7/12/2023,Sold,,,,Shen37,Shenandoah 26 Llc,,Local,Landmark Realtors,1539 Shenandoah LLC,,Local,ABM,Apartments,B,1990,8,0.15,6499,4,,"R3-1, Los Angeles",Pico-Robertson,Urban,Los Angeles,United States,North America,Americas,90035,,632-J4,"26,475,150.02",607.79,,4.3,,"493,750",7/12/2023,7/18/2023,,Confirmed,Research Complete,,33,No,No,Air Conditioning,,"741,769","809,358","1,551,127",2022,,,Adequate,Reinforced Concrete,,,,516 N Linden Dr,Beverly Hills,Daniel Mahgerefteh,,,N,Individual,CA,Linden Dr,516,Private,90210-3222,,,,,,,,,,,,512 S San Vicente Blvd,Roya,Souferzadeh,Los Angeles,3236512200,CA,San Vicente Blvd,512,,S,90048-4645,,6454769,,,Reinforced Concrete,0.63285179358784,,,0456199,,,06037,,,,,,Yes,B and X,1.56,,,,,,20+ Years,,,,47.82,,,,34.0508414,,"1171 S Robertson Blvd, 271",Nir,Yacoby,Los Angeles,3107121100,CA,Robertson Blvd,1171,,S,90035-1403,,-118.3823932,50.000x130.000,632,J,4,Los Angeles,,,,2,12,2,,0,8,,0,,,2(1 + 1) ,,4303-002-038,4303-002-038,,1.48,100.00%,,Los Angeles,Los Angeles,,CA,90035,,,,,389.35,,Shenandoah St,1537,,S,4304840,,,,,,Investment,Independent,,,,,1171 S Robertson Blvd,Los Angeles,Patrick Walsh,,,S,Other - Private,CA,Robertson Blvd,1171,Private,90035-1403,,,,,,,,,,,,,"10,145",,,,,Mid-Wilshire,0FD       ,,2(3 + 2) ,,,"On July 12, 2023, the 8-unit, apartment building on .15 acres located at 1537 Shenandoah St, Los Angeles, CA 90035 sold for $3,950,000. The seller was represented by Nir Yacoby of ABM. The buyer was represented by Roya Souferzadeh of Landmark Realtors. The property was built in 1990. The property includes 8 parking spaces. The zoning on the property is R3-1, Los Angeles (residential). The sale was confirmed by the listing broker.",,12(2 + 2) ,4113,,,
148 Monterey Blvd,Hermosa Beach,CA,Multi-Family,"5,000",3 Star,"$4,000,000",800.00,7/6/2023,Sold,,3.20,,,Amir Saz and Angelica Saz Family Trust,,National,Saz Realty,Steven L Koch,,Local,Douglas Elliman,Apartments,B,1985,5,0.11,4792,3,,HBR3YY,Hermosa Beach,Suburban,Los Angeles,United States,North America,Americas,90254,,,"36,360,601.00",834.73,,,,"800,000",6/30/2023,7/6/2023,,Confirmed,Research Complete,,38,No,No,"Laundry Facilities, Sundeck",,"919,895","423,140","1,343,035",2022,670,,Good,,,,,,,Angelica Saz,3105140108,,,Trust,,,,Private,,,,Amir Saz and Angelica Saz Trust,,3105140108,,,,,,,20 Toscany,Alirez,Saz,Irvine,9493023131,CA,Toscany,20,,,92614-0249,,6442228,,,,0.347900492528592,,"The bed-bath mix, unit counts and sizes are estimated based on information obtained through public record. The actual models mix are still to be determined. The unit mix is confirmed",0428356,,,06037,,,,,,Yes,B and X,1.04,,,27,,,8 Months,,,,68.49,,,,33.8548168,,150 S El Camino Dr,Rachelle,Rosten,Beverly Hills,3105953888,CA,El Camino Dr,150,,S,90212-2733,,-118.3957311,,,,,Los Angeles,,,,5,0,0,,0,10,,0,,,5(1 + 1) ,,4188-016-065,4188-016-065,,2.00,,,Hermosa Beach,Los Angeles,,CA,90254,,,,,800.00,,Monterey Blvd,148,,,10879484,,,,,,Investment,Independent,,,,,712 Marlita St,Hermosa Beach,Steven Koch,3103749989,,,Individual,CA,Marlita St,712,Private,90254,,,Steven L Koch Revocable Trust,,3103749989,,,,,,,,"5,000",,,,,Beach Communities,8EJ       ,,,,,"On July 06, 2023, the apartment building on .11 acres located at 148 Monterey Blvd, Hermosa Beach, CA 90254 sold for $4,000,000. The property had a capitalization rate of 3.00% at the time of sale which yields a net income of $120,000.  The seller was represented by Rachelle Rosten and Kelly deLaat of Douglas Elliman. The buyer was represented by Alirez Saz of Saz Realty. The property was put on the market on March 31, 2023 and was on the market for 97 days. The property was built in 1985. The property includes 10 parking spaces. The zoning on the property is HBR3YY (hbr3yy). The sale was confirmed by the listing broker.",,,1667,,,
11932 207th St,Lakewood,CA,Multi-Family,"17,040",3 Star,"$7,650,000",448.94,7/3/2023,Sold,"8,325,000",4.58,,,M Hoyt Family Trust,,National,,Michael Weldon Trust,,Local,Marcus & Millichap,Apartments,B,1990,19,0.76,33010,2,,MF,ABC,Suburban,Los Angeles,United States,North America,Americas,90715-1462,,,"10,094,940.93",231.75,,2.8,,"402,632",7/3/2023,6/30/2023,,Confirmed,Research Complete,,33,No,No,Gated,,"3,641,840","2,427,892","6,069,732",2022,,,,,2021 Tax @ $3809.27/Unit,,2021 Tax @ $3809.27/Unit,1635 Ohms Way,Costa Mesa,Matthew Hoyt,9492831696,,,Trust,CA,Ohms Way,1635,Private,92627-4355,,,The M Hoyt Family Trust,,,,,,,,,,,,,,,,,,,,,6438339,,,,0.27685744413593,,"This property for sale is a 19 unit, 2 story town home style apartments. They all feature an attached garage and individual gas & electric meters as well as water heaters. There are 4 separate buildings and two different floor plans. Very well maintained complex with a large lot and location in ABC school district. There is room for rent increase (no rent control.)",0432627,"3,925,000",,06037,None,"3,725,000",Golden 1 Credit Union,,Lender Name: Golden 1 Cu,Yes,B and X,0.52,,,14.1,"542,699",,79 Months,,,,60.00,,,,33.842038,,"19800 MacArthur Blvd, 150",Tyler,Leeson,Irvine,9494193200,CA,MacArthur Blvd,19800,,,92612-2421,,-118.077415,165.000x200.000,,,,Los Angeles,96,,"350,410",0,19,0,,0,42,,0,,,,,7058-019-032,7058-019-032,,2.46,100.00%,,Lakewood,Los Angeles,,CA,,,,,,448.94,,207th St,11932,,,764069,,,,,,Investment,Independent,,,,,4769 Maybank Ave,Lakewood,Michael Weldon,5624285830,,,Trust,CA,Maybank Ave,4769,Private,90712,4769 Maybank Ave,Lakewood,Michael Weldon Trust,,5624285830,CA,Maybank Ave,4769,,,90712,,"17,040",,None,Full,,South Los Angeles,6FT       ,,,,,"Built in 1990, this is the sale of a 19-unit multifamily property that offers two-bedroom townhomes and amenities including garage, surface, and carport parking, gated access, private balconies, a barbeque area, and in-unit laundry hookups. 7 of the units have one balcony, 10 of the units have two balconies, and 2 of the units have an extra large balcony. Additionally, 12 of 19 units have undergone substantial renovations with upgrades including vinyl and carpet flooring, granite countertops, individual water heaters, and more. The property was delivered 100% occupied.","8,415.00",19(2 + 2.5) ,9139,,,
1539 S Shenandoah St,Los Angeles,CA,Multi-Family,"10,145",3 Star,"$4,200,000",414.00,6/30/2023,Sold,,4.74,,,Diana Lee,,National,EXP Realty of California,1539 Shenandoah LLC,,Local,ABM,Apartments,C,1990,9,0.15,6499,3,,R3-1,Pico-Robertson,Urban,Los Angeles,United States,North America,Americas,90035,,632-J4,"28,150,792.43",646.25,,,,"466,667",6/30/2023,7/10/2023,,Confirmed,Research Complete,,33,No,No,"Air Conditioning, Laundry Facilities",,"765,937","868,993","1,634,930",2022,1100,,Adequate,,,,,"1001 W Imperial Hwy, 2984",La Habra,Diana Lee,,,W,Individual,CA,Imperial Hwy,1001,Private,90632,"1001 W Imperial Hwy, 2984",La Habra,Diana Lee,,,CA,Imperial Hwy,1001,,W,90632,,Silvia,Han,,,,,,,,,,6444313,,,,0.520221715079137,,"

Property Description: Multi Family   -  8 Units


Apartment Unit:     manager's unit


",0429325,,,06037,,,,,,Yes,B and X,1.56,,,,,,<1 Month,,,,46.85,,,,34.0507131,,"1171 S Robertson Blvd, 271",Nir,Yacoby,Los Angeles,3107121100,CA,Robertson Blvd,1171,,S,90035-1403,,-118.3823412,50.000x130.000,632,J,4,Los Angeles,,,"199,031",1,8,0,,0,17,,0,,,1(1 + 1) ,,4303-002-037,4303-002-037,,1.68,100.00%,,Los Angeles,Los Angeles,,CA,90035,,,,,414.00,,Shenandoah St,1539,,S,4266929,,,,,,Investment,Independent,,,,,1171 S Robertson Blvd,Los Angeles,Patrick Walsh,,,S,Other - Private,CA,Robertson Blvd,1171,Private,90035-1403,,,,,,,,,,,,,"10,145",,,,,Mid-Wilshire,0FD       ,,,,,"Patrick Walsh sold this 10,145 square foot multi- family building to Diana Lee for a confirmed price of $4,200,000, with the price per unit being $466,667.00. The property was 100% occupied at the time of the sale. 

This property has a reported net operating income of $199,031 for 2023, which yielded a 4.74% cap rate. 

The property was on the market for 85 days with an original asking price of $4,575,437. 

The information in the comparable has been verified by the listing broker.
",,8(2 + 2) ,3381,13,,
4446 Finley Ave,Los Angeles,CA,Multi-Family,"4,056",2 Star,"$2,300,000",567.06,6/29/2023,Sold,"2,400,000",,,,Shawn Silver,,Local,"Realty Source, Inc.","Bona Fide Management, LLC",,Local,Coldwell Banker Commercial Realty,Apartments,C,1988,4,0.15,6534,2,,LAR2,Los Feliz,Urban,Los Angeles,United States,North America,Americas,90027,,,"15,333,333.33",352.01,,3.4,,"575,000",6/22/2023,6/29/2023,,Confirmed,Research Complete,,35,No,No,"Fenced Lot, Gated, Patio",,"398,283","398,283","796,566",2022,,,Adequate,Wood Frame,,,,"16501 Ventura Blvd, 300",Encino,Shawn Silver,3236509998,,,Individual,CA,Ventura Blvd,16501,Private,91436-2007,"16501 Ventura Blvd, 300",Encino,4446 Finley Ave LLC,,,CA,Ventura Blvd,16501,,,91436-2007,2727 Camino del Rio St,Laura,Silver,San Diego,6192581000,CA,Camino del Rio St,2727,,,92108,,6437778,,,Wood Frame,0.310376492194674,,,0407550,,None,06037,,,,,,Yes,B and X,0.62,,,14.17,,,27 Months,,,,50.00,,,,34.107397,,301 N Canon Dr,Ron,Holliman,Beverly Hills,3107776200,CA,Canon Dr,301,,N,90210-4722,None,-118.286895,,,,,Los Angeles,99,,,0,0,0,,0,8,,4,,,,,5590-010-027,5590-010-027,,1.97,,,Los Angeles,Los Angeles,,CA,90027,,,,,567.06,,Finley Ave,4446,,,6241792,,,,,,Investment,Independent,,,,,4470 W Sunset Blvd,Los Angeles,Thomas Daniels,3236465587,,W,Corporation,CA,Sunset Blvd,4470,User,90027-6302,4470 W Sunset Blvd,Los Angeles,Los Feliz Property Group LLC,,,CA,Sunset Blvd,4470,,W,90027-6302,,"4,056",,,,,East Hollywood,4ET       ,,,,,"On June 29, 2023, the 4-unit, multifamily building on .15 acres located at4446 Finley Ave, Los Angeles, CA 90027 sold for $2,300,000. The property was built in 1988. The property includes 8 parking spaces. The zoning on the property is LAR2. The listing broker confirmed the details for this transaction.",,,2028,,,
1410 Coronado Ave,Long Beach,CA,Multi-Family,"7,770",2 Star,"$3,250,000",418.28,6/27/2023,Sold,"3,350,000",5.30,,,Dave Aviram,,Local,RE/MAX One,"Hamid Pashaee, Broker",,National,Marcus & Millichap,Apartments,C,1987,9,0.16,6881,3,,LBR2N,Eastside Long Beach,Suburban,Los Angeles,United States,North America,Americas,90804,,,"20,574,044.47",472.32,,3.7,California State University at Long Beach,"361,111",6/27/2023,6/27/2023,,Confirmed,Research Complete,,36,No,No,"Controlled Access, Laundry Facilities",,"1,870,000","800,000","2,670,000",2022,,,Adequate,,2022 Tax @ $4583.33/Unit; 2022 Ops @ $2172.22/Unit,,2022 Tax @ $4583.33/Unit; 2022 Ops @ $2172.22/Unit,18625 Topham St,Tarzana,Dave Aviram,8188224433,,,Individual,CA,Topham St,18625    ,Private,91335,,,Lora Investments LLC,,,,,,,,,"6355 Topanga Canyon Blvd, 100",Tal,Yona,Woodland Hills,8183467362,CA,Topanga Canyon Blvd,6355,,,91367-2102,,6434469,,,,0.376398833948385,,"

Property Description: 9-UNIT APARTMENT BUILDING



",0417632,"1,300,000",,06037,,"1,950,000",JP Morgan Chase Bank,,,Yes,B and X,1.13,,,13.28,"244,704",,23 Months,,,,70.04,,,,33.78463,,"19800 MacArthur Blvd, 150",Greg,Bassirpou,Irvine,9494193200,CA,MacArthur Blvd,19800,,,92612-2421,,-118.15317,125.000x50.000,,,,Los Angeles,124,,"172,209",1,8,0,,0,13,,0,,,1(1 + 1) ,,7259-007-025,7259-007-025,,1.67,100.00%,,Long Beach,Los Angeles,,CA,90804,,,,,418.28,,Coronado Ave,1410,,,4677647,,,,,,Investment,Independent,,,,,23 Endless Vis,Aliso Viejo,Hamid Pashaee,9492545626,,,Individual,CA,Endless Vis,23,Private,92656-8057,23 Endless Vis,Aliso Viejo,Minerva Investment Group LLC,,9492545626,CA,Endless Vis,23,,,92656-8057,,"7,770",,,Full,,Long Beach/Ports,9FA       ,,,,,"This is the sale of a the Coronado Avenue Apartments. A nine-unit apartment building located in the City of Long Beach, a premier rental market in Los Angeles County, California.

Built in 1987, the subject property offers an attractive unit mix comprised of (8) two-bedroom/ two-bathroom units and (1) one-bedroom/ one-bathroom unit totaling 7,770 square feet. Some amenities include gated entry, ample on-site gated parking, on-site laundry room, and balconies. Some recent renovations and upgrades include new floors, new bathrooms, and updated kitchens.

","3,575.00",8(2 + 2) ,2590,62,,
